detector,scenario,magnitude,n_streams,n_machines,bootstrap_draws,auc,auc_lo,auc_hi
psi_max_thinned,sudden_shift,0.5,22,11,2000,0.6743,0.5377,0.7985
psi_max_thinned,sudden_shift,1.0,22,11,2000,0.7822,0.6375,0.911
psi_max_thinned,sudden_shift,2.0,22,11,2000,0.8822,0.7703,0.971
psi_max_thinned,sudden_shift,4.0,22,11,2000,0.9542,0.8914,0.9993
psi_max_thinned,variance_shift,0.5,22,11,2000,0.5714,0.4706,0.68
psi_max_thinned,variance_shift,1.0,22,11,2000,0.7139,0.5904,0.8298
psi_max_thinned,variance_shift,2.0,22,11,2000,0.7139,0.6033,0.8174
psi_max_thinned,variance_shift,4.0,22,11,2000,0.7348,0.633,0.8378
random,correlation_break,0.0,22,11,2000,0.4683,0.4253,0.5106
random,gradual_shift,0.5,22,11,2000,0.4759,0.4125,0.5384
random,gradual_shift,1.0,22,11,2000,0.4552,0.4131,0.4961
random,gradual_shift,2.0,22,11,2000,0.457,0.4002,0.5124
random,gradual_shift,4.0,22,11,2000,0.4237,0.3748,0.4765
random,incremental_shift,0.5,22,11,2000,0.4929,0.4351,0.5463
random,incremental_shift,1.0,22,11,2000,0.4438,0.3898,0.4978
random,incremental_shift,2.0,22,11,2000,0.471,0.4229,0.5199
random,incremental_shift,4.0,22,11,2000,0.5235,0.473,0.5721
random,sudden_shift,0.5,22,11,2000,0.4901,0.4365,0.5412
random,sudden_shift,1.0,22,11,2000,0.46,0.4223,0.5022
random,sudden_shift,2.0,22,11,2000,0.4294,0.3738,0.489
random,sudden_shift,4.0,22,11,2000,0.4842,0.4324,0.5341
random,variance_shift,0.5,22,11,2000,0.4759,0.4273,0.5227
random,variance_shift,1.0,22,11,2000,0.3959,0.3498,0.4442
random,variance_shift,2.0,22,11,2000,0.4527,0.3967,0.512
random,variance_shift,4.0,22,11,2000,0.4438,0.4022,0.4862
wasserstein_max,correlation_break,0.0,22,11,2000,0.6195,0.5365,0.7035
wasserstein_max,gradual_shift,0.5,22,11,2000,0.6924,0.5848,0.8001
wasserstein_max,gradual_shift,1.0,22,11,2000,0.7376,0.6384,0.8275
wasserstein_max,gradual_shift,2.0,22,11,2000,0.7965,0.6976,0.8839
wasserstein_max,gradual_shift,4.0,22,11,2000,0.9171,0.8764,0.9542
