machine,detector,policy,value,achieved_alarms_per_window
machine-2-6,ks_max_thinned,fixed,0.45625000000000004,0.125
machine-2-6,pca_recon,fixed,1.3705604747382438,0.125
machine-2-6,psi_max,fixed,0.5373597064783642,0.125
machine-2-6,psi_max_thinned,fixed,9.49623749553532,0.125
machine-2-6,random,fixed,0.8988375279176443,0.125
machine-2-6,wasserstein_max,fixed,0.5948860802716704,0.125
machine-2-6,wasserstein_max_thinned,fixed,2.98576573647564,0.125
machine-2-7,c2st,fixed,0.9865779463117852,0.125
machine-2-7,c2st_thinned,fixed,0.9519230769230769,0.125
machine-2-7,iforest_mean,fixed,0.03494163243044268,0.125
machine-2-7,js_max,fixed,0.7256355437552232,0.125
machine-2-7,js_max_thinned,fixed,0.7891631568514087,0.125
machine-2-7,ks_bonferroni,fixed,10.0,0.0
machine-2-7,ks_max,fixed,0.87605,0.10416666666666667
machine-2-7,ks_max_thinned,fixed,0.9310344827586207,0.0625
machine-2-7,pca_recon,fixed,2.1161423979451803,0.125
machine-2-7,psi_max,fixed,4.826494328848879,0.125
machine-2-7,psi_max_thinned,fixed,18.597500262980503,0.10416666666666667
machine-2-7,random,fixed,0.857354760890587,0.125
machine-2-7,wasserstein_max,fixed,2.8730043801174183,0.125
machine-2-7,wasserstein_max_thinned,fixed,3.371271052592009,0.125
machine-2-8,c2st,fixed,0.9424257697030789,0.125
machine-2-8,c2st_thinned,fixed,0.4222222222222223,0.125
machine-2-8,iforest_mean,fixed,0.001389376465644243,0.125
machine-2-8,js_max,fixed,0.9999999765394305,0.125
machine-2-8,js_max_thinned,fixed,0.9999999844098162,0.125
machine-2-8,ks_bonferroni,fixed,10.0,0.0
machine-2-8,ks_max,fixed,0.8135,0.125
machine-2-8,ks_max_thinned,fixed,0.782608695652174,0.0
machine-2-8,pca_recon,fixed,1.042084862056111,0.125
machine-2-8,psi_max,fixed,15.672338611691382,0.0
machine-2-8,psi_max_thinned,fixed,21.574210614310616,0.0
machine-2-8,random,fixed,0.8966078918092324,0.125
machine-2-8,wasserstein_max,fixed,0.9752976389547506,0.125
machine-2-8,wasserstein_max_thinned,fixed,3.011981340027331,0.125
machine-2-9,c2st,fixed,0.9949225326119249,0.125
machine-2-9,c2st_thinned,fixed,0.9166666666666667,0.10416666666666667
machine-2-9,iforest_mean,fixed,0.03155926972767409,0.125
machine-2-9,js_max,fixed,0.827268377615922,0.125
machine-2-9,js_max_thinned,fixed,0.8625708510556427,0.125
machine-2-9,ks_bonferroni,fixed,10.0,0.0
machine-2-9,ks_max,fixed,0.87065,0.125
machine-2-9,ks_max_thinned,fixed,0.9057017543859649,0.041666666666666664
machine-2-9,pca_recon,fixed,4.018489141302943,0.125
machine-2-9,psi_max,fixed,18.451511055230245,0.125
machine-2-9,psi_max_thinned,fixed,20.55665364407793,0.08333333333333333
machine-2-9,random,fixed,0.8944069755323011,0.125
machine-2-9,wasserstein_max,fixed,2.7068021717751147,0.125
machine-2-9,wasserstein_max_thinned,fixed,8.574532690469919,0.125
machine-3-1,c2st,fixed,1.0,0.0
machine-3-1,c2st_thinned,fixed,1.0,0.0
machine-3-1,iforest_mean,fixed,0.031666034755853334,0.125
machine-3-1,js_max,fixed,0.9948445416284133,0.125
machine-3-1,js_max_thinned,fixed,0.8909436199885348,0.125
machine-3-1,ks_bonferroni,fixed,10.0,0.0
machine-3-1,ks_max,fixed,0.99975,0.10416666666666667
machine-3-1,ks_max_thinned,fixed,1.0,0.0
machine-3-1,pca_recon,fixed,1.8224017853884131,0.125
machine-3-1,psi_max,fixed,20.72335072186698,0.0625
machine-3-1,psi_max_thinned,fixed,20.615903221436188,0.125
machine-3-1,random,fixed,0.8454037158020004,0.125
machine-3-1,wasserstein_max,fixed,4.846491479387294,0.125
machine-3-1,wasserstein_max_thinned,fixed,4.758900442717909,0.125
machine-3-10,c2st,fixed,0.8713239411830591,0.125
machine-3-10,c2st_thinned,fixed,0.7,0.125
machine-3-10,iforest_mean,fixed,0.019034080726909042,0.125
machine-3-10,js_max,fixed,0.3221946332356604,0.125
machine-3-10,js_max_thinned,fixed,0.8493067247940549,0.125
machine-3-10,ks_bonferroni,fixed,10.0,0.0
machine-3-10,ks_max,fixed,0.8329500000000001,0.125
machine-3-10,ks_max_thinned,fixed,0.8823529411764706,0.125
machine-3-10,pca_recon,fixed,76.61571692077783,0.125
machine-3-10,psi_max,fixed,17.734611014943727,0.125
machine-3-10,psi_max_thinned,fixed,32.83695561674949,0.10416666666666667
machine-3-10,random,fixed,0.7633787546638343,0.125
machine-3-10,wasserstein_max,fixed,3.0349108843465435,0.125
machine-3-10,wasserstein_max_thinned,fixed,272.3976610946192,0.125
machine-3-11,c2st,fixed,1.0,0.0
machine-3-11,c2st_thinned,fixed,1.0,0.0
machine-3-11,iforest_mean,fixed,0.03970137169352839,0.125
machine-3-11,js_max,fixed,0.9506242437410537,0.125
machine-3-11,js_max_thinned,fixed,0.8738061265456178,0.10416666666666667
machine-3-11,ks_bonferroni,fixed,10.0,0.0
machine-3-11,ks_max,fixed,1.0,0.0
machine-3-11,ks_max_thinned,fixed,1.0,0.0
machine-3-11,pca_recon,fixed,6.667669693976827,0.125
machine-3-11,psi_max,fixed,20.675357301471834,0.08333333333333333
machine-3-11,psi_max_thinned,fixed,19.98084725013235,0.0625
machine-3-11,random,fixed,0.8023801571777849,0.125
machine-3-11,wasserstein_max,fixed,4.292152477932299,0.125
machine-3-11,wasserstein_max_thinned,fixed,4.317557714049862,0.125
machine-3-2,c2st,fixed,0.8895848416482162,0.125
machine-3-2,c2st_thinned,fixed,0.6796917996697853,0.125
machine-3-2,iforest_mean,fixed,0.023548638206813355,0.125
machine-3-2,js_max,fixed,0.47111131862091404,0.125
machine-3-2,js_max_thinned,fixed,0.4779059788005757,0.125
machine-3-2,ks_bonferroni,fixed,10.0,0.0
machine-3-2,ks_max,fixed,0.56215,0.125
machine-3-2,ks_max_thinned,fixed,0.5668892718655751,0.125
machine-3-2,pca_recon,fixed,15.507656134007572,0.125
machine-3-2,psi_max,fixed,5.68592037038758,0.125
machine-3-2,psi_max_thinned,fixed,9.329342226989002,0.125
machine-3-2,random,fixed,0.8935964256513014,0.125
machine-3-2,wasserstein_max,fixed,0.7732563599371955,0.125
machine-3-2,wasserstein_max_thinned,fixed,3.2114141989209206,0.125
machine-3-3,c2st,fixed,0.8853735332125097,0.125
machine-3-3,c2st_thinned,fixed,0.6734693877551021,0.125
machine-3-3,iforest_mean,fixed,0.0308842432968085,0.125
machine-3-3,js_max,fixed,0.288879203846502,0.125
machine-3-3,js_max_thinned,fixed,0.6483873484571692,0.125
machine-3-3,ks_bonferroni,fixed,10.0,0.0
machine-3-3,ks_max,fixed,0.5489499999999999,0.125
machine-3-3,ks_max_thinned,fixed,0.6521739130434783,0.125
machine-3-3,pca_recon,fixed,5.240759683776512,0.125
machine-3-3,psi_max,fixed,1.9046697877715815,0.125
machine-3-3,psi_max_thinned,fixed,13.377813698403745,0.125
machine-3-3,random,fixed,0.7699886810805363,0.125
machine-3-3,wasserstein_max,fixed,1.6885525076378398,0.10416666666666667
machine-3-3,wasserstein_max_thinned,fixed,4.799983659273316,0.125
machine-3-4,c2st,fixed,0.9207194101894403,0.125
machine-3-4,c2st_thinned,fixed,0.75,0.125
machine-3-4,iforest_mean,fixed,0.013588135205410135,0.125
machine-3-4,js_max,fixed,0.5005520905297511,0.125
machine-3-4,js_max_thinned,fixed,0.6684190089230746,0.125
machine-3-4,ks_bonferroni,fixed,10.0,0.0
machine-3-4,ks_max,fixed,0.6776,0.125
machine-3-4,ks_max_thinned,fixed,0.7420634920634921,0.125
machine-3-4,pca_recon,fixed,2.4886709700312317,0.125
machine-3-4,psi_max,fixed,5.263402557186398,0.125
machine-3-4,psi_max_thinned,fixed,14.273253176839214,0.125
machine-3-4,random,fixed,0.8215453297228212,0.125
machine-3-4,wasserstein_max,fixed,2.744489370323224,0.125
machine-3-4,wasserstein_max_thinned,fixed,3.091533964140784,0.125
machine-3-5,c2st,fixed,0.8858158893720172,0.125
machine-3-5,c2st_thinned,fixed,0.7828947368421053,0.125
machine-3-5,iforest_mean,fixed,0.06546693280680049,0.125
machine-3-5,js_max,fixed,0.8772284229427278,0.125
